country,year,prop_emnes,prop_emnes_excl_nat_res,prop_emnes_excl_former_col_power,zero_mnes,zero_mnes_excl_nat_res,zero_mnes_excl_former_col_power,geographic_proximity,colonial_link,c1_voice_and_acc,c2_pol_stability,c3_gov_effectiveness,c4_reg_quality,c5_rule_of_law,c6_control_of_corruption,gni_per_capita,perc_roads_paved,fixed_lines_per_1000,mobile_hones_per_1000,total_phones_per_1000
afghanistan,1999,1.0,1.0,1.0,False,False,False,0,0,-1.68,-1.84,,,-1.13,,,13.3,1.0,1.0,2
afghanistan,2001,1.0,1.0,1.0,False,False,False,0,0,-1.76,-2.44,-1.3,-3.57,-2.31,-1.59,,13.3,1.0,1.0,2
angola,1999,0.1363636363636363,0.0588235294117647,0.1578947368421052,False,False,False,0,1,-1.28,-2.04,-1.63,-1.19,-1.45,-1.05,710.0,10.4,6.0,9.0,15
angola,2001,0.12,0.0476190476190476,0.1363636363636363,False,False,False,0,1,-1.37,-2.33,-1.58,-1.96,-1.37,-1.38,710.0,10.4,6.0,9.0,15
bangladesh,1999,0.125,0.1304347826086956,0.1764705882352941,False,False,False,0,1,-0.17,-0.44,-0.35,-0.08,-0.72,-0.4,380.0,9.5,5.0,8.0,13
bangladesh,2001,0.12,0.125,0.1666666666666666,False,False,False,0,1,-0.34,-0.56,-0.45,-0.02,-0.68,-0.64,380.0,9.5,5.0,8.0,13
benin,1999,0.0,0.0,0.0,False,False,False,0,1,0.61,0.14,-0.18,-0.07,-0.38,-0.76,380.0,20.0,9.0,32.0,41
benin,2001,0.0,0.0,0.0,False,False,False,0,1,0.44,0.27,-0.06,0.15,-0.48,-0.22,380.0,20.0,9.0,32.0,41
bhutan,1999,,,,True,True,True,0,0,-1.56,0.51,0.27,-0.18,-0.07,0.46,600.0,,,,0
bhutan,2001,,,,True,True,True,0,0,-1.63,0.6,0.96,-0.39,-0.58,1.33,600.0,,,,0
burkina_faso,1999,0.125,0.125,1.0,False,False,False,0,1,-0.24,-0.1,-0.09,-0.23,-0.42,-0.51,250.0,16.0,5.0,8.0,13
burkina_faso,2001,0.2,0.2,1.0,False,False,False,0,1,-0.31,-0.33,-0.09,-0.04,-0.64,-0.72,250.0,16.0,5.0,8.0,13
burundi,1999,0.0,0.0,0.0,False,False,False,0,1,-1.59,-1.84,-1.04,-1.27,-0.85,-0.8,100.0,7.1,3.0,7.0,10
burundi,2001,0.0,0.0,0.0,False,False,False,0,1,-1.66,-1.77,-1.2,-0.77,-0.95,-1.36,100.0,7.1,3.0,7.0,10
cambodia,1999,0.0,0.0,0.0,False,False,False,0,0,-0.87,-1.37,-1.04,-0.22,-0.73,-1.27,300.0,16.2,3.0,28.0,31
cambodia,2001,0.0,0.0,0.0,False,False,False,0,0,-0.35,-1.22,-0.27,0.04,-0.74,-0.57,300.0,16.2,3.0,28.0,31
cape_verde,1999,,,,True,True,True,0,0,0.92,,0.27,-0.57,0.67,-0.29,1250.0,,,,0
cape_verde,2001,,,,True,True,True,0,0,0.86,,0.18,0.1,0.57,0.17,1250.0,,,,0
central_african_republic,1999,0.0,0.0,,False,False,True,0,1,0.06,0.04,-0.92,-0.57,-0.87,-0.55,250.0,2.7,2.0,3.0,5
central_african_republic,2001,0.0,0.0,,False,False,True,0,1,-0.52,-0.34,-0.99,-0.68,-0.62,-0.99,250.0,2.7,2.0,3.0,5
chad,1999,0.0,0.0,,False,False,True,0,1,-0.83,-1.36,-0.33,-0.67,-0.98,-0.84,210.0,0.8,2.0,4.0,6
chad,2001,0.0,0.0,,False,False,True,0,1,-0.89,-0.8,-0.21,-0.28,-0.82,-0.61,210.0,0.8,2.0,4.0,6
comoros,1999,0.0,0.0,,False,False,True,0,1,-0.04,,-1.15,-0.7,-0.97,-0.8,390.0,,,,0
comoros,2001,0.0,0.0,,False,False,True,0,1,-0.47,,-0.99,-0.79,-1.02,-0.61,390.0,,,,0
democratic_republic_of_congo,1999,0.0,0.0,0.0,False,False,False,0,1,-1.67,-2.79,-2.07,-2.78,-1.97,-1.58,100.0,,0.0,11.0,11
democratic_republic_of_congo,2001,0.2,0.25,0.25,False,False,False,1,1,-1.91,-2.83,-1.63,-2.87,-1.79,-1.4,100.0,,0.0,11.0,11
djibouti,1999,0.125,0.125,0.2,False,False,False,0,1,-0.73,,-0.94,-0.79,-0.32,-0.8,850.0,,,,0
djibouti,2001,0.1428571428571428,0.1428571428571428,0.2,False,False,False,0,1,-0.56,,-0.86,-0.4,-0.5,-0.99,850.0,,,,0
equatorial_guinea,1999,0.0,,0.0,False,True,False,0,0,-1.55,,-1.55,-2.11,-1.69,-0.8,930.0,,,,0
equatorial_guinea,2001,0.5,1.0,0.5,False,False,False,0,0,-1.46,,-1.9,-1.54,-1.26,-1.76,930.0,,,,0
eritrea,1999,,,,True,True,True,0,0,-1.07,0.98,0.47,0.08,-0.05,0.46,190.0,21.8,9.0,0.0,9
eritrea,2001,,,,True,True,True,0,0,-1.42,0.16,-0.21,-0.52,-0.12,-0.05,190.0,21.8,9.0,0.0,9
ethiopia,1999,0.0833333333333333,0.0833333333333333,0.0833333333333333,False,False,False,0,0,-0.69,0.18,0.01,-0.14,-0.23,-0.25,100.0,12.0,5.0,1.0,6
ethiopia,2001,0.0588235294117647,0.0588235294117647,0.0588235294117647,False,False,False,0,0,-1.0,-0.8,-0.87,-0.85,-0.46,-0.09,100.0,12.0,5.0,1.0,6
gambia,1999,0.0,0.0,0.0,False,False,False,0,1,-1.18,0.65,-0.14,-0.34,-0.29,-0.49,270.0,35.4,28.0,73.0,101
gambia,2001,0.0,0.0,0.0,False,False,False,0,1,-0.98,0.71,0.25,-0.08,-0.25,-0.11,270.0,35.4,28.0,73.0,101
guinea,1999,0.2857142857142857,0.3333333333333333,0.5,False,False,False,0,1,-0.99,-0.99,-0.34,0.14,-0.89,-0.82,410.0,16.5,3.0,12.0,15
guinea,2001,0.1818181818181818,0.2,0.2857142857142857,False,False,False,0,1,-1.12,-1.18,0.08,0.03,-0.82,-0.41,410.0,16.5,3.0,12.0,15
guinea_bissau,1999,0.0,0.0,,False,False,True,0,1,-0.34,-0.97,-0.35,-1.3,-1.24,-0.57,130.0,10.3,9.0,0.0,9
guinea_bissau,2001,0.0,0.0,,False,False,True,0,1,-0.85,-1.05,-1.49,-1.14,-1.36,-0.4,130.0,10.3,9.0,0.0,9
haiti,1999,0.0,0.0,0.0,False,False,False,0,1,-0.65,-1.52,-1.08,-0.99,-0.99,-0.85,440.0,24.3,16.0,17.0,33
haiti,2001,0.0,0.0,0.0,False,False,False,0,1,-0.79,-0.71,-1.45,-1.13,-1.49,-1.02,440.0,24.3,16.0,17.0,33
kiribati,1999,0.0,0.0,0.0,False,False,False,0,0,1.26,,-0.44,-0.96,-0.65,-0.55,960.0,,,,0
kiribati,2001,0.0,0.0,0.0,False,False,False,0,0,1.15,,-0.08,-0.92,-0.31,-0.61,960.0,,,,0
laos,1999,0.0,0.0,0.0,False,False,False,0,0,-1.27,0.98,-0.34,-1.18,-1.07,-0.7,310.0,44.5,11.0,10.0,21
laos,2001,0.0,0.0,0.0,False,False,False,0,0,-1.43,0.4,-0.67,-1.18,-1.02,-0.91,310.0,44.5,11.0,10.0,21
lesotho,1999,0.0,0.0,0.0,False,False,False,0,1,-0.01,0.54,-0.21,0.05,-0.13,0.03,550.0,18.3,13.0,42.0,55
lesotho,2001,0.0,0.0,0.0,False,False,False,0,1,-0.03,1.07,0.05,-0.17,-0.08,0.17,550.0,18.3,13.0,42.0,55
liberia,1999,0.0,0.0,0.0,False,False,False,0,0,-0.9,-1.28,-1.62,-2.35,-1.79,-1.43,140.0,6.2,2.0,1.0,3
liberia,2001,0.0,0.0,0.0,False,False,False,0,0,-1.16,-1.36,-1.41,-1.66,-1.52,-1.24,140.0,6.2,2.0,1.0,3
madagascar,1999,0.0526315789473684,0.0588235294117647,0.125,False,False,False,0,1,0.4,-0.48,-0.44,-0.48,-1.01,-0.8,230.0,11.6,4.0,10.0,14
madagascar,2001,0.1111111111111111,0.12,0.2727272727272727,False,False,False,0,1,0.25,0.0,-0.3,-0.1,-0.65,-0.8,230.0,11.6,4.0,10.0,14
malawi,1999,0.0,0.0,0.0,False,False,False,0,0,-0.1,0.09,-0.56,0.1,-0.51,-0.5,160.0,18.5,7.0,8.0,15
malawi,2001,0.0,0.0,0.0,False,False,False,0,0,-0.28,0.05,-0.67,0.02,-0.51,-0.22,160.0,18.5,7.0,8.0,15
maldives,1999,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,False,False,0,0,-1.05,,0.67,0.21,-0.65,-0.55,2170.0,,,,0
maldives,2001,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,False,False,0,0,-0.94,,0.7,0.14,-0.66,-0.61,2170.0,,,,0
mali,1999,0.0,0.0,,False,False,True,0,1,0.38,0.09,-0.06,0.13,-0.57,-0.58,240.0,12.1,5.0,5.0,10
mali,2001,0.0,0.0,0.0,False,False,False,0,1,0.28,0.45,-1.06,0.1,-0.69,-0.56,240.0,12.1,5.0,5.0,10
mauritania,1999,0.0,0.0,,False,False,True,0,1,-0.91,0.51,-0.24,-0.47,-0.48,-0.29,280.0,11.3,12.0,92.0,104
mauritania,2001,0.5,0.5,1.0,False,False,False,1,1,-0.67,-0.45,-0.36,-0.18,-0.48,-0.7,280.0,11.3,12.0,92.0,104
mozambique,1999,0.1666666666666666,0.1666666666666666,0.2,False,False,False,1,1,-0.1,-0.71,-0.18,-0.29,-1.02,-0.77,200.0,18.7,5.0,14.0,19
mozambique,2001,0.1923076923076923,0.1923076923076923,0.238095238095238,False,False,False,1,1,-0.28,-0.27,-0.26,-0.14,-0.73,-0.43,200.0,18.7,5.0,14.0,19
myanmar,1999,0.7777777777777778,0.7777777777777778,0.7777777777777778,False,False,False,0,0,-1.92,-1.05,-1.64,-1.25,-1.06,-1.3,,12.2,7.0,1.0,8
myanmar,2001,0.0909090909090909,0.0909090909090909,0.0909090909090909,False,False,False,0,0,-2.12,-1.41,-1.31,-1.37,-1.14,-1.25,,12.2,7.0,1.0,8
nepal,1999,0.0,0.0,0.0,False,False,False,0,0,-0.01,-0.43,-0.94,-0.34,-0.25,-0.59,230.0,30.8,14.0,1.0,15
nepal,2001,0.0,0.0,0.0,False,False,False,0,0,-0.12,-1.02,-0.72,-0.3,-0.31,-0.42,230.0,30.8,14.0,1.0,15
niger,1999,0.0,0.0,0.0,False,False,False,0,1,-0.99,-0.4,-0.84,-0.47,-0.7,-0.88,180.0,7.9,2.0,1.0,3
niger,2001,0.0,0.0,0.0,False,False,False,0,1,-0.07,-0.14,-1.02,-0.25,-0.83,-0.92,180.0,7.9,2.0,1.0,3
rwanda,1999,0.0,0.0,0.0,False,False,False,0,0,-1.5,-1.84,-0.84,-0.94,-1.2,-0.55,230.0,8.3,3.0,14.0,17
rwanda,2001,0.0,0.0,0.0,False,False,False,0,0,-1.46,-1.56,-0.21,-0.47,-0.83,0.11,230.0,8.3,3.0,14.0,17
samoa,1999,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,False,False,0,0,0.6,,-0.14,-0.7,-0.97,-0.29,1430.0,,,,0
samoa,2001,0.125,0.125,0.125,False,False,False,0,0,0.62,,-0.08,0.03,-0.14,0.17,1430.0,,,,0
sao_tome_and_principe,1999,0.0,0.0,,False,False,True,0,1,0.75,,-0.94,-0.96,-0.97,-0.8,300.0,,,,0
sao_tome_and_principe,2001,0.0,0.0,,False,False,True,0,1,0.93,,-0.86,-0.39,-0.66,0.17,300.0,,,,0
senegal,1999,0.037037037037037,0.0454545454545454,0.125,False,False,False,0,1,-0.49,-1.11,0.18,-0.26,-0.26,-0.45,470.0,29.3,22.0,55.0,77
senegal,2001,0.0263157894736842,0.03125,0.1111111111111111,False,False,False,0,1,-0.11,-0.84,0.24,-0.14,-0.28,-0.4,470.0,29.3,22.0,55.0,77
sierra_leone,1999,0.0,0.0,,False,False,True,0,1,-1.72,-1.91,-0.47,-1.41,-0.72,-0.72,140.0,7.9,5.0,13.0,18
sierra_leone,2001,0.0,0.0,,False,False,True,0,1,-1.36,-1.34,-1.57,-1.07,-0.77,-0.77,140.0,7.9,5.0,13.0,18
solomon_islands,1999,0.2941176470588235,0.3571428571428571,0.3571428571428571,False,False,False,0,1,1.11,,-0.84,-1.09,-0.65,-0.55,580.0,,,,0
solomon_islands,2001,0.2631578947368421,0.3125,0.3125,False,False,False,0,1,0.06,,-0.73,-0.92,-1.02,-0.22,580.0,,,,0
somalia,1999,,,,True,True,True,0,0,-1.46,-1.88,-2.12,-2.52,-1.8,-1.43,,11.8,10.0,3.0,13
somalia,2001,,,,True,True,True,0,0,-1.37,-1.12,-2.58,-2.36,-1.71,-1.63,,11.8,10.0,3.0,13
sudan,1999,0.0,0.0,0.0,False,False,False,0,0,-1.71,-2.03,-1.75,-1.14,-1.31,-0.75,370.0,36.3,21.0,6.0,27
sudan,2001,0.2,0.2,0.25,False,False,False,0,1,-1.75,-2.38,-1.34,-0.76,-1.13,-1.13,370.0,36.3,21.0,6.0,27
tanzania,1999,0.2903225806451613,0.2857142857142857,0.391304347826087,False,False,False,1,1,-0.4,0.55,-0.4,0.21,-0.28,-0.95,290.0,4.2,5.0,19.0,24
tanzania,2001,0.2894736842105263,0.2777777777777778,0.3928571428571428,False,False,False,1,1,-0.15,-0.33,-0.32,0.06,-0.23,-1.01,290.0,4.2,5.0,19.0,24
togo,1999,0.2,0.2,0.5,False,False,False,0,1,-1.14,-0.89,-0.44,-0.64,-0.83,-0.45,270.0,31.6,10.0,35.0,45
togo,2001,0.125,0.1428571428571428,0.3333333333333333,False,False,False,0,1,-1.09,-0.63,-1.48,-0.59,-0.79,-0.66,270.0,31.6,10.0,35.0,45
tuvalu,1999,,,,True,True,True,0,0,1.44,,,,,,,,,,0
tuvalu,2001,,,,True,True,True,0,0,1.39,,,,,,,,,,0
uganda,1999,0.4705882352941176,0.5,0.5925925925925926,False,False,False,1,1,-0.61,-0.92,-0.06,0.42,-0.11,-0.62,240.0,6.7,2.0,16.0,18
uganda,2001,0.4210526315789473,0.4285714285714285,0.5161290322580645,False,False,False,1,1,-0.94,-1.35,-0.15,0.18,-0.63,-0.9,240.0,6.7,2.0,16.0,18
vanuatu,1999,0.1666666666666666,0.1818181818181818,0.2857142857142857,False,False,False,0,1,0.63,,-0.44,-0.31,-0.65,-0.29,1070.0,,,,0
vanuatu,2001,0.125,0.1428571428571428,0.2142857142857142,False,False,False,0,1,0.62,,-0.47,-0.26,-0.31,-0.22,1070.0,,,,0
yemen,1999,0.0,0.0,0.0,False,False,False,0,0,-0.6,-1.53,-0.41,-0.39,-0.68,-0.57,490.0,11.5,28.0,21.0,49
yemen,2001,0.0,0.0,0.0,False,False,False,0,1,-0.72,-1.19,-0.65,-0.42,-0.89,-0.7,490.0,11.5,28.0,21.0,49
zambia,1999,0.0384615384615384,0.0434782608695652,0.0909090909090909,False,False,False,0,1,-0.11,-0.04,-0.39,0.32,-0.34,-0.56,340.0,22.0,8.0,13.0,21
zambia,2001,0.088235294117647,0.09375,0.1666666666666666,False,False,False,0,1,-0.24,-0.48,-0.79,0.43,-0.47,-0.85,340.0,22.0,8.0,13.0,21
